text,vulgar,threat,insult,neutral
একদিন আমিও আব্বুর সাথে ছবি তুলবো কিন্তু সাহস করে বলতে পারিনি।,0,0,0,1
পরিচ্ছন্ন মানুষের গর্বিত বাবা,0,0,0,1
মাশাআল্লাহ।আল্লাহ তায়ালা আংকেলকে দীর্ঘজীবী করুক।,0,0,0,1
মাশাল্লাহ আল্লাহ আপনাকে আর আপনার আব্বুকে তার প্রিয় বান্দা হিসেবে কবুল করুক।,0,0,0,1
এই কাজ টি সম্পুর্ণ ভাবে অমানবিক একটি কাজ,0,0,0,1
আজ অব্দি আব্বার সাথে কখনো ছবি তোলা হয়নি এখন ইচ্ছে হচ্ছে খুব আংকেলের জন্য শুভকামনা,0,0,0,1
যে মহিলা এই কাজটা করছে তাকে ফাঁসি চাই কুকুর ছানা গুলোকে যেভাবে মেরে ফেলছে সেভাবে ফাঁসি চাই,0,1,0,0
বাবামা মানে পুরো পৃথিবী। আল্লাহ পৃথিবীর সকল বাবামা কে নেক হায়াত দান করুক।,0,0,0,1
বাবাকে ঘামতে দেখেছি কখনো হারতে দেখিনি আল্লাহ্ অসীন ক্ষমতা দিয়েছে।,0,0,0,1
সঠিক মনে নেই শেষ কবে দেখা হয়েছে তবে ১৫২০ বছর পর হলেও ছবিতে তো দেখছি ভালো থাকুক সকল বাবারা।,0,0,0,1
অনেক দিন পর দেখলাম নেক হায়াত বাড়িয়ে দিক,0,0,0,1
আঙ্কেলের জন্য অনেক দোয়া।,0,0,0,1
আপনার প্রত্যেকটা পোষ্টের লিখাগুলো এত্ত বেশি সুন্দরমার্জিত বিগ ফ্যান ভাই,0,0,0,1
সন্মানিত পিতাকে সশ্রদ্ব সালাম,0,0,0,1
সালাম বইলো আঙ্কেলরে আমার। বইলো তোমার জন্য তাঁর সমপ্রার্থনায় যেনো আমাকেও সন্তান মনে করেন।ভদ্র লোকের নেক হায়াত কামনা করি।,0,0,0,1
আমার বাবা প্রত্যেকটা বাবার মতোইবাবাদেরকে শব্দ দিয়ে সীমিত করা সম্ভব না।বাবাদের নিয়ে লিখতে গেলে অনেক লিখা যাবে।তবে উনার কর্মজীবনদর্শন ও মরণঘাতী রোগ থেকে ফিরে আসা বিষয়গুলো একটু ব্যতিক্রম। সময় করে এগুলো নিয়ে নিশ্চয়ই লিখবো।,0,0,0,1
প্রাণবন্ত হাসি দোয়া ও ভালোবাসা,0,0,0,1
পৃথিবীতে সৃষ্টিকর্তার অন্যতম রহমত বাবা,0,0,0,1
বাবা এ এমন এক অনুভূতি যা বুঝানোর মতো নয়৪বছর হলো বাবাকে হারিয়েছিএখনো মনে হয়না বাবা মারা গেছেনযখন ই মনে পড়ে বাবা আর নেইতখন কলিজা ফেটে কান্না আসেভালো থাকুক পৃথিবীর সমস্ত বাবা মা।,0,0,0,1
সব বাবারা ভালো থাকুক,0,0,0,1
অনেক দিন পরে দেখলাম চাচাকে খুভ ভালো লাগলো,0,0,0,1
আংকেল কেমন আছে দুস্ত,0,0,0,1
আমার দেখা সবচেয়ে ভালো মনের মানুষ আল্লাহ পাক উনাকে নেক হায়াত দান করুকআমিন,0,0,0,1
ভাইকে অনেক দিন পর দেখলাম,0,0,0,1
আপনি খুব সুন্দর বাংলা লিখেন।,0,0,0,1
বাবার জন্য বিনম্র শ্রদ্ধা,0,0,0,1
আল্লাহ বাবা গুলোকে ভালো রাখুক,0,0,0,1
ফাঁসি চাই,0,0,0,1
দোয়া রইলো আল্লাহ নানাভাই কে নেক হায়াত দান করুক,0,0,0,1
আপনার বাবা অনেক ভাগ্যবান আল্লাহ পাক উনাকেসহ পরিবারের সবাইকে নেক হায়াত দান করুন আমিন।,0,0,0,1
দীনী কিতাবাদী দেখে মনে শান্তি অনুভব হলো,0,0,0,1
একজন গর্বিত বাবা।,0,0,0,1
সম্ভবত হাসনাত আব্দুল্লাহ ভাইয়ের কোন ফেমিলী মেম্বার মাদ্রাসা পড়ুয়া আলহামদুলিল্লাহ৷,0,0,0,1
উপরের তাকের বইগুলো দেখে ভালো লাগলো,0,0,0,1
মাশাআল্লাহএকটি ছবি দিয়েই সকল আলেম ও ধর্মপ্রান মানুষের অন্তরে স্থান করে নিয়েছেন। বাম পাড়ায় আবার আগুন লাগবে দেইখেন।,0,0,0,1
সশ্রদ্ধ সালাম জানাই তাকে।,0,0,0,1
আংকেলের সাথে ঝগড়া না করে নীরবে বিয়ের বিষয়ে ৪ গুণ আদায় করে নেওয়া উত্তম,0,0,0,1
মাশাআল্লাহ বাবাছেলে দুজকেই অনেক সুন্দর লাগছে।,0,0,0,1
পিছনে জিহাদি বই মনে হচ্ছে। আয়নাঘরের প্রস্তুতি নে বন্ধু,0,1,0,0
ফাদার অফ দ্যা ইয়ার,0,0,0,1
বাপকা ব্যাটা,0,0,0,1
মা শা আল্লাহ পিতা পুত্রের সুস্হ ও সুখী সমৃদ্ধময় জীবন ও সুস্হ নেক হায়াৎ কামনা করি আমিন।,0,0,0,1
